Country,Year,Average Annual Wages
Australia,2000,48213.08868
Australia,2001,48693.3023
Australia,2002,49140.63129
Australia,2003,49849.37515
Australia,2004,51414.31839
Australia,2005,52013.93975
Australia,2006,52368
Australia,2007,53805
Australia,2008,54149
Australia,2009,53644
Australia,2010,55536
Australia,2011,57361
Australia,2012,57752
Australia,2013,57579
Australia,2014,58102
Australia,2015,57744
Australia,2016,57885
Australia,2017,57619
Australia,2018,57843
Australia,2019,58620
Australia,2020,60377
Australia,2021,60681.49855
Australia,2022,59407.88998
Austria,2000,57529.01747
Austria,2001,57344.65956
Austria,2002,58229.16778
Austria,2003,58368.87321
Austria,2004,59473.25479
Austria,2005,59801.36993
Austria,2006,60698
Austria,2007,61047
Austria,2008,62081
Austria,2009,63135
Austria,2010,62831
Austria,2011,62159
Austria,2012,62515
Austria,2013,62568
Austria,2014,62801
Austria,2015,63231
Austria,2016,63860
Austria,2017,63856
Austria,2018,64101
Austria,2019,64623
Austria,2020,64648
Austria,2021,65402.3163
Austria,2022,63801.6205
Belgium,2000,60929.14052
Belgium,2001,61114.83036
Belgium,2002,62692.58577
Belgium,2003,63066.29518
Belgium,2004,62735.50011
Belgium,2005,62139.94835
Belgium,2006,62562
Belgium,2007,62446
Belgium,2008,62715
Belgium,2009,63590
Belgium,2010,63295
Belgium,2011,63944
Belgium,2012,64461
Belgium,2013,65099
Belgium,2014,65461
Belgium,2015,65017
Belgium,2016,65157
Belgium,2017,64700
Belgium,2018,65083
Belgium,2019,65700
Belgium,2020,63677
Belgium,2021,65520.82131
Belgium,2022,64847.62388
Canada,2000,46526.33928
Canada,2001,46335.18499
Canada,2002,45961.56042
Canada,2003,45975.75017
Canada,2004,46969.11817
Canada,2005,48325.74464
Canada,2006,49797
Canada,2007,51127
Canada,2008,52025
Canada,2009,52363
Canada,2010,52457
Canada,2011,53088
Canada,2012,53717
Canada,2013,54286
Canada,2014,54995
Canada,2015,55400
Canada,2016,54350
Canada,2017,55122
Canada,2018,56083
Canada,2019,56370
Canada,2020,59160
Canada,2021,59568.78279
Canada,2022,59050.40728
Czechia,2000,20070.48242
Czechia,2001,21105.60748
Czechia,2002,22382.42264
Czechia,2003,24089.04188
Czechia,2004,25174.10387
Czechia,2005,25914.06806
Czechia,2006,26952
Czechia,2007,27757
Czechia,2008,27906
Czechia,2009,27793
Czechia,2010,28648
Czechia,2011,28882
Czechia,2012,28934
Czechia,2013,28754
Czechia,2014,29360
Czechia,2015,30224
Czechia,2016,31291
Czechia,2017,32891
Czechia,2018,34633
Czechia,2019,36071
Czechia,2020,35552
Czechia,2021,36269.70799
Czechia,2022,33475.51974
Denmark,2000,52018.88005
Denmark,2001,52328.67186
Denmark,2002,53520.32821
Denmark,2003,54841.25092
Denmark,2004,56061.80687
Denmark,2005,57030.2442
Denmark,2006,57991
Denmark,2007,58638
Denmark,2008,59414
Denmark,2009,60853
Denmark,2010,61537
Denmark,2011,61213
Denmark,2012,61121
Denmark,2013,61548
Denmark,2014,62723
Denmark,2015,63828
Denmark,2016,63894
Denmark,2017,64281
Denmark,2018,64765
Denmark,2019,65222
Denmark,2020,66203
Denmark,2021,66503.04779
Denmark,2022,64126.65162
Finland,2000,43072.84404
Finland,2001,43299.41239
Finland,2002,43532.03048
Finland,2003,44359.35125
Finland,2004,45807.9322
Finland,2005,46788.14618
Finland,2006,47757
Finland,2007,48395
Finland,2008,48809
Finland,2009,49229
Finland,2010,49911
Finland,2011,49925
Finland,2012,49965
Finland,2013,49465
Finland,2014,49449
Finland,2015,49836
Finland,2016,50274
Finland,2017,49985
Finland,2018,50354
Finland,2019,50873
Finland,2020,51092
Finland,2021,52785.31963
Finland,2022,51835.87394
France,2000,43694.34692
France,2001,43969.03089
France,2002,45155.67258
France,2003,45524.22596
France,2004,46266.45679
France,2005,46823.7931
France,2006,47347
France,2007,47520
France,2008,47429
France,2009,48938
France,2010,49926
France,2011,49836
France,2012,50159
France,2013,50581
France,2014,50929
France,2015,51415
France,2016,52010
France,2017,52732
France,2018,52664
France,2019,53172
France,2020,50550
France,2021,52542.18892
France,2022,52763.5938
Germany,2000,51344.10119
Germany,2001,51718.79718
Germany,2002,52022.68323
Germany,2003,52195.61003
Germany,2004,52188.85901
Germany,2005,52377.65267
Germany,2006,52367
Germany,2007,52208
Germany,2008,52442
Germany,2009,52453
Germany,2010,52912
Germany,2011,53980
Germany,2012,54699
Germany,2013,55215
Germany,2014,56141
Germany,2015,57431
Germany,2016,58311
Germany,2017,58924
Germany,2018,59750
Germany,2019,60732
Germany,2020,60309
Germany,2021,60291.24177
Germany,2022,58940.3278
Greece,2000,29797.16544
Greece,2001,30798.69545
Greece,2002,33599.23855
Greece,2003,35079.24617
Greece,2004,35722.5698
Greece,2005,35603.3185
Greece,2006,36027
Greece,2007,36033
Greece,2008,35476
Greece,2009,37151
Greece,2010,35454
Greece,2011,33205
Greece,2012,31272
Greece,2013,29229
Greece,2014,29108
Greece,2015,29394
Greece,2016,28720
Greece,2017,28903
Greece,2018,27569
Greece,2019,27615
Greece,2020,27747
Greece,2021,27659.57173
Greece,2022,25978.97924
Hungary,2000,17968.894
Hungary,2001,19334.73875
Hungary,2002,20301.14339
Hungary,2003,21926.51318
Hungary,2004,23457.65428
Hungary,2005,24491.94482
Hungary,2006,24969
Hungary,2007,24783
Hungary,2008,25128
Hungary,2009,23692
Hungary,2010,24005
Hungary,2011,24316
Hungary,2012,23506
Hungary,2013,23266
Hungary,2014,22961
Hungary,2015,23140
Hungary,2016,23349
Hungary,2017,25038
Hungary,2018,26265
Hungary,2019,27140
Hungary,2020,27588
Hungary,2021,28462.42341
Hungary,2022,28474.64324
Ireland,2000,37873.93037
Ireland,2001,39371.66944
Ireland,2002,39798.91823
Ireland,2003,41094.86945
Ireland,2004,42554.29631
Ireland,2005,44330.02565
Ireland,2006,44703
Ireland,2007,45969
Ireland,2008,48089
Ireland,2009,52639
Ireland,2010,52793
Ireland,2011,52035
Ireland,2012,51578
Ireland,2013,50323
Ireland,2014,50080
Ireland,2015,50079
Ireland,2016,50593
Ireland,2017,51180
Ireland,2018,51852
Ireland,2019,52648
Ireland,2020,53651
Ireland,2021,53209.4764
Ireland,2022,52242.6174
Italy,2000,45289.58446
Italy,2001,45612.84355
Italy,2002,45290.10088
Italy,2003,45168.00936
Italy,2004,46032.25787
Italy,2005,46654.24748
Italy,2006,46947
Italy,2007,46928
Italy,2008,46864
Italy,2009,47224
Italy,2010,47629
Italy,2011,46866
Italy,2012,45379
Italy,2013,45527
Italy,2014,45704
Italy,2015,46103
Italy,2016,46469
Italy,2017,46169
Italy,2018,46230
Italy,2019,46460
Italy,2020,44246
Italy,2021,45960.64562
Italy,2022,44893.33467
Japan,2000,41428.23687
Japan,2001,41006.37324
Japan,2002,40178.29624
Japan,2003,40212.76829
Japan,2004,40884.38578
Japan,2005,41936.10476
Japan,2006,41911
Japan,2007,41799
Japan,2008,41463
Japan,2009,40869
Japan,2010,40999
Japan,2011,41656
Japan,2012,40963
Japan,2013,40995
Japan,2014,40257
Japan,2015,40062
Japan,2016,40609
Japan,2017,40710
Japan,2018,41172
Japan,2019,41699
Japan,2020,41442
Japan,2021,42041.31255
Japan,2022,41509.20477
Korea,2000,32242.64203
Korea,2001,33360.15264
Korea,2002,34507.35184
Korea,2003,35782.45873
Korea,2004,36589.82104
Korea,2005,37718.50493
Korea,2006,38204
Korea,2007,39031
Korea,2008,38914
Korea,2009,39116
Korea,2010,39730
Korea,2011,40252
Korea,2012,39660
Korea,2013,40661
Korea,2014,40746
Korea,2015,41878
Korea,2016,43106
Korea,2017,44119
Korea,2018,45640
Korea,2019,47207
Korea,2020,48294
Korea,2021,49142.98052
Korea,2022,48921.93486
Luxembourg,2000,64217.09445
Luxembourg,2001,64622.09918
Luxembourg,2002,65946.63485
Luxembourg,2003,65475.2173
Luxembourg,2004,66216.95183
Luxembourg,2005,66536.84211
Luxembourg,2006,67458
Luxembourg,2007,69283
Luxembourg,2008,68923
Luxembourg,2009,71070
Luxembourg,2010,71085
Luxembourg,2011,71478
Luxembourg,2012,70741
Luxembourg,2013,71601
Luxembourg,2014,72846
Luxembourg,2015,73225
Luxembourg,2016,72999
Luxembourg,2017,73918
Luxembourg,2018,74261
Luxembourg,2019,74399
Luxembourg,2020,74839
Luxembourg,2021,79018.90253
Luxembourg,2022,78310.14512
Netherlands,2000,60062.64011
Netherlands,2001,60953.86245
Netherlands,2002,61142.92627
Netherlands,2003,61574.39577
Netherlands,2004,62542.96507
Netherlands,2005,62542.65198
Netherlands,2006,62407
Netherlands,2007,63276
Netherlands,2008,63660
Netherlands,2009,66337
Netherlands,2010,66270
Netherlands,2011,65977
Netherlands,2012,66198
Netherlands,2013,66395
Netherlands,2014,66039
Netherlands,2015,66841
Netherlands,2016,67112
Netherlands,2017,66634
Netherlands,2018,65910
Netherlands,2019,65449
Netherlands,2020,67163
Netherlands,2021,66221.4846
Netherlands,2022,63224.9896
Norway,2000,36444.19663
Norway,2001,37463.26673
Norway,2002,38854.50269
Norway,2003,39367.26451
Norway,2004,40693.2868
Norway,2005,41868.85419
Norway,2006,43540
Norway,2007,45473
Norway,2008,46429
Norway,2009,46915
Norway,2010,47531
Norway,2011,49201
Norway,2012,50542
Norway,2013,51576
Norway,2014,51809
Norway,2015,52068
Norway,2016,51226
Norway,2017,51096
Norway,2018,51340
Norway,2019,52273
Norway,2020,52415
Norway,2021,53813.20716
Norway,2022,53755.94037
Poland,2000,23769.612
Poland,2001,25120.04182
Poland,2002,25032.10848
Poland,2003,25339.5485
Poland,2004,24784.94194
Poland,2005,24682.38028
Poland,2006,24848
Poland,2007,25664
Poland,2008,27011
Poland,2009,26997
Poland,2010,28091
Poland,2011,28247
Poland,2012,27972
Poland,2013,28274
Poland,2014,28919
Poland,2015,29635
Poland,2016,31199
Poland,2017,32475
Poland,2018,34546
Poland,2019,36667
Poland,2020,37325
Poland,2021,37126.69346
Poland,2022,36896.55924
Portugal,2000,30975.01029
Portugal,2001,31099.3971
Portugal,2002,31085.99711
Portugal,2003,31014.38138
Portugal,2004,31055.55459
Portugal,2005,30885.78789
Portugal,2006,30215
Portugal,2007,30417
Portugal,2008,30315
Portugal,2009,31716
Portugal,2010,31589
Portugal,2011,30820
Portugal,2012,29496
Portugal,2013,30056
Portugal,2014,29538
Portugal,2015,29448
Portugal,2016,29320
Portugal,2017,29433
Portugal,2018,29919
Portugal,2019,31081
Portugal,2020,31300
Portugal,2021,32089.37798
Portugal,2022,31921.65999
Slovak Republic,2000,16381.1268
Slovak Republic,2001,16382.07197
Slovak Republic,2002,17226.48364
Slovak Republic,2003,17559.19452
Slovak Republic,2004,17812.35737
Slovak Republic,2005,18906.77746
Slovak Republic,2006,19561
Slovak Republic,2007,20761
Slovak Republic,2008,20974
Slovak Republic,2009,21689
Slovak Republic,2010,22642
Slovak Republic,2011,22443
Slovak Republic,2012,22161
Slovak Republic,2013,22333
Slovak Republic,2014,22781
Slovak Republic,2015,23676
Slovak Republic,2016,24426
Slovak Republic,2017,25151
Slovak Republic,2018,25862
Slovak Republic,2019,26707
Slovak Republic,2020,27052
Slovak Republic,2021,27546.57904
Slovak Republic,2022,26262.84353
Spain,2000,43029.08323
Spain,2001,42803.91035
Spain,2002,43018.46932
Spain,2003,42799.70425
Spain,2004,42254.99489
Spain,2005,42437.19741
Spain,2006,42235
Spain,2007,42692
Spain,2008,44201
Spain,2009,46983
Spain,2010,46538
Spain,2011,45707
Spain,2012,44427
Spain,2013,44431
Spain,2014,44294
Spain,2015,44957
Spain,2016,44704
Spain,2017,44123
Spain,2018,43975
Spain,2019,44448
Spain,2020,43828
Spain,2021,44443.88997
Spain,2022,42859.33604
Sweden,2000,37650.81043
Sweden,2001,38086.02397
Sweden,2002,38587.14319
Sweden,2003,38908.19386
Sweden,2004,40203.8423
Sweden,2005,41216.48554
Sweden,2006,42366
Sweden,2007,43779
Sweden,2008,44635
Sweden,2009,44790
Sweden,2010,45337
Sweden,2011,46020
Sweden,2012,46993
Sweden,2013,47506
Sweden,2014,48043
Sweden,2015,48770
Sweden,2016,49535
Sweden,2017,49797
Sweden,2018,50041
Sweden,2019,50559
Sweden,2020,51214
Sweden,2021,51928.97547
Sweden,2022,50406.83074
Switzerland,2000,60767.7071
Switzerland,2001,64157.51996
Switzerland,2002,65448.01604
Switzerland,2003,65111.6354
Switzerland,2004,64650.68198
Switzerland,2005,65657.74645
Switzerland,2006,65847
Switzerland,2007,66634
Switzerland,2008,66983
Switzerland,2009,68319
Switzerland,2010,67961
Switzerland,2011,68401
Switzerland,2012,69383
Switzerland,2013,70280
Switzerland,2014,70412
Switzerland,2015,70797
Switzerland,2016,70468
Switzerland,2017,70087
Switzerland,2018,69892
Switzerland,2019,71189
Switzerland,2020,69728
Switzerland,2021,72358.43967
Switzerland,2022,72993.02434
United Kingdom,2000,44967.09154
United Kingdom,2001,46885.63748
United Kingdom,2002,47505.0791
United Kingdom,2003,49042.42908
United Kingdom,2004,50561.32624
United Kingdom,2005,50067.25152
United Kingdom,2006,51890
United Kingdom,2007,53926
United Kingdom,2008,52475
United Kingdom,2009,52346
United Kingdom,2010,52455
United Kingdom,2011,51497
United Kingdom,2012,51070
United Kingdom,2013,51594
United Kingdom,2014,51816
United Kingdom,2015,52549
United Kingdom,2016,53156
United Kingdom,2017,53471
United Kingdom,2018,53950
United Kingdom,2019,54703
United Kingdom,2020,53612
United Kingdom,2021,54762.30333
United Kingdom,2022,53985.06047
United States,2000,61131.59919
United States,2001,61601.2442
United States,2002,62096.62512
United States,2003,62764.10243
United States,2004,63927.40582
United States,2005,63987.31916
United States,2006,64945
United States,2007,66174
United States,2008,66011
United States,2009,66673
United States,2010,67263
United States,2011,67353
United States,2012,67928
United States,2013,67604
United States,2014,68591
United States,2015,70320
United States,2016,70446
United States,2017,71157
United States,2018,71937
United States,2019,73194
United States,2020,77567
United States,2021,78894.28061
United States,2022,77463.47302
Mexico,2000,17310.58041
Mexico,2001,18313.16021
Mexico,2002,18241.33517
Mexico,2003,18561.5381
Mexico,2004,18650.07916
Mexico,2005,18777.90976
Mexico,2006,18746
Mexico,2007,18818
Mexico,2008,18656
Mexico,2009,18806
Mexico,2010,17618
Mexico,2011,17777
Mexico,2012,17457
Mexico,2013,17470
Mexico,2014,17503
Mexico,2015,17730
Mexico,2016,17522
Mexico,2017,17475
Mexico,2018,17865
Mexico,2019,18031
Mexico,2020,17467
Mexico,2021,17637.05555
Mexico,2022,16685.37147
Israel,2000,37781.72496
Israel,2001,38369.97007
Israel,2002,36922.70094
Israel,2003,35655.64948
Israel,2004,35106.85263
Israel,2005,35173.89557
Israel,2006,36161
Israel,2007,36502
Israel,2008,35979
Israel,2009,34890
Israel,2010,34993
Israel,2011,35189
Israel,2012,35792
Israel,2013,35900
Israel,2014,36112
Israel,2015,37213
Israel,2016,38698
Israel,2017,39898
Israel,2018,41059
Israel,2019,41964
Israel,2020,42130
Israel,2021,44338.86887
Israel,2022,44155.94542
Slovenia,2000,33203.23349
Slovenia,2001,34558.42289
Slovenia,2002,34648.43831
Slovenia,2003,35375.70685
Slovenia,2004,37099.95189
Slovenia,2005,38510.08307
Slovenia,2006,39774
Slovenia,2007,40657
Slovenia,2008,41272
Slovenia,2009,41676
Slovenia,2010,42846
Slovenia,2011,42725
Slovenia,2012,41437
Slovenia,2013,40760
Slovenia,2014,41576
Slovenia,2015,42482
Slovenia,2016,44095
Slovenia,2017,44894
Slovenia,2018,45702
Slovenia,2019,47050
Slovenia,2020,48605
Slovenia,2021,50466.68794
Slovenia,2022,47203.62743
Estonia,2000,14253.99896
Estonia,2001,14756.02802
Estonia,2002,15621.98837
Estonia,2003,17131.06282
Estonia,2004,18486.64097
Estonia,2005,19715.3331
Estonia,2006,21504
Estonia,2007,25012
Estonia,2008,25382
Estonia,2009,24704
Estonia,2010,24461
Estonia,2011,23907
Estonia,2012,24256
Estonia,2013,24859
Estonia,2014,26232
Estonia,2015,27434
Estonia,2016,28837
Estonia,2017,29500
Estonia,2018,31391
Estonia,2019,33006
Estonia,2020,35128
Estonia,2021,37317.82297
Estonia,2022,34704.57152
OECD countries,2000,45489.49335
OECD countries,2001,45984.71674
OECD countries,2002,46124.76186
OECD countries,2003,46513.0537
OECD countries,2004,47165.35645
OECD countries,2005,47448.88893
OECD countries,2006,47905
OECD countries,2007,48521
OECD countries,2008,48466
OECD countries,2009,48764
OECD countries,2010,48881
OECD countries,2011,49011
OECD countries,2012,49003
OECD countries,2013,49137
OECD countries,2014,49509
OECD countries,2015,50336
OECD countries,2016,50781
OECD countries,2017,51154
OECD countries,2018,51768
OECD countries,2019,52654
OECD countries,2020,53448
OECD countries,2021,54257.59554
OECD countries,2022,53415.84352
Iceland,2000,57007.89517
Iceland,2001,56571.30031
Iceland,2002,58197.09048
Iceland,2003,56719.11933
Iceland,2004,60144.38904
Iceland,2005,64809.45494
Iceland,2006,68219
Iceland,2007,70267
Iceland,2008,62292
Iceland,2009,52694
Iceland,2010,54268
Iceland,2011,56570
Iceland,2012,56277
Iceland,2013,57135
Iceland,2014,57946
Iceland,2015,61777
Iceland,2016,68732
Iceland,2017,75287
Iceland,2018,79476
Iceland,2019,76444
Iceland,2020,71687
Iceland,2021,74654.51952
Iceland,2022,79473.35929
New Zealand,2000,36451.93329
New Zealand,2001,37143.585
New Zealand,2002,37829.94495
New Zealand,2003,39232.67469
New Zealand,2004,40606.50858
New Zealand,2005,41292.85256
New Zealand,2006,41548
New Zealand,2007,43973
New Zealand,2008,43463
New Zealand,2009,43994
New Zealand,2010,44476
New Zealand,2011,44442
New Zealand,2012,45402
New Zealand,2013,44794
New Zealand,2014,44969
New Zealand,2015,45779
New Zealand,2016,47269
New Zealand,2017,47594
New Zealand,2018,48784
New Zealand,2019,50211
New Zealand,2020,51417
New Zealand,2021,51877.3367
New Zealand,2022,50722.4543
Chile,2000,20514.90861
Chile,2001,21090.00601
Chile,2002,21378.51175
Chile,2003,21710.70198
Chile,2004,21258.81054
Chile,2005,21069.06862
Chile,2006,21589
Chile,2007,22100
Chile,2008,22505
Chile,2009,24588
Chile,2010,27871
Chile,2011,28639
Chile,2012,29661
Chile,2013,30530
Chile,2014,30657
Chile,2015,30615
Chile,2016,31834
Chile,2017,30847
Chile,2018,32348
Chile,2019,33190
Chile,2020,31369
Chile,2021,33042.3321
Latvia,2000,13406.70653
Latvia,2001,13843.79142
Latvia,2002,13420.23761
Latvia,2003,14380.66693
Latvia,2004,15634.09323
Latvia,2005,18183.97802
Latvia,2006,20051
Latvia,2007,24721
Latvia,2008,25508
Latvia,2009,23031
Latvia,2010,22140
Latvia,2011,21373
Latvia,2012,22240
Latvia,2013,23301
Latvia,2014,24864
Latvia,2015,26944
Latvia,2016,28523
Latvia,2017,29546
Latvia,2018,30640
Latvia,2019,31972
Latvia,2020,33199
Latvia,2021,35923.06305
Latvia,2022,34136.15487
Lithuania,2000,17102.37602
Lithuania,2001,18055.46368
Lithuania,2002,19273.9634
Lithuania,2003,21352.46893
Lithuania,2004,23693.9422
Lithuania,2005,26174.75832
Lithuania,2006,29975
Lithuania,2007,31929
Lithuania,2008,32512
Lithuania,2009,28233
Lithuania,2010,28340
Lithuania,2011,28918
Lithuania,2012,29401
Lithuania,2013,30515
Lithuania,2014,31902
Lithuania,2015,33989
Lithuania,2016,35752
Lithuania,2017,37766
Lithuania,2018,39524
Lithuania,2019,42041
Lithuania,2020,44228
Lithuania,2021,47035.4439
Lithuania,2022,43874.58155
Türkiye,2006,21432
Türkiye,2007,22170
Türkiye,2008,22042
Türkiye,2009,22292
Türkiye,2010,22847
Türkiye,2011,23216
Türkiye,2012,24153
Türkiye,2013,25265
Türkiye,2014,26127
Türkiye,2015,26786
Türkiye,2016,30081
Türkiye,2017,29515
Türkiye,2018,30041
Türkiye,2019,31927
Türkiye,2020,31761
Colombia,2005,16614.18268
Colombia,2006,16958
Colombia,2007,16848
Colombia,2008,18496
Colombia,2009,19172
Colombia,2010,19800
Colombia,2011,19693
Colombia,2012,20172
Colombia,2013,20588
Colombia,2014,20602
Colombia,2015,20685
Colombia,2016,20488
Colombia,2017,21020
Colombia,2018,21821
Colombia,2019,21751
Colombia,2020,24681
Colombia,2021,22248.49156
Costa Rica,2000,18159.51065
Costa Rica,2001,18658.43033
Costa Rica,2002,18844.70875
Costa Rica,2003,18244.20304
Costa Rica,2004,18298.35314
Costa Rica,2005,16702.98736
Costa Rica,2006,17300
Costa Rica,2007,17069
Costa Rica,2008,17725
Costa Rica,2009,20177
Costa Rica,2010,21062
Costa Rica,2011,22174
Costa Rica,2012,22579
Costa Rica,2013,24442
Costa Rica,2014,24510
Costa Rica,2015,26186
Costa Rica,2016,27364
Costa Rica,2017,27020
Costa Rica,2018,27709
Costa Rica,2019,28524
Costa Rica,2020,31341
Costa Rica,2021,31117.83426
